1	ole	36344
2	see	20928
3	mina	20389
4	ei	15349
5	ja	11811
6	saa	10363
7	et	9630
8	siis	9127
9	kui	7918
10	aga	7588
11	tege	7093
12	ka	7065
13	%	6648
14	mis	6492
15	sina	6315
16	või	5897
17	pida	5795
18	😄	5554
19	kas	4714
20	@	4018
21	nii	3934
22	tule	3658
23	tema	3476
24	jah	3282
25	ära	3204
26	test	3176
27	mingi	3141
28	kõik	3082
29	20	3053
30	mine	2791
31	ise	2772
32	0	2721
33	seal	2544
34	kord	2494
35	ikka	2491
36	1	2452
37	ju	2323
38	and	2294
39	pane	2257
40	tead	2229
41	vist	2217
42	aeg	2215
43	miski	2192
44	asi	2172
45	üks	2159
46	hea	2026
47	taht	1961
48	vaata	1957
49	sama	1908
50	veel	1855
51	keegi	1803
52	üles	1773
53	kuidas	1759
54	no	1758
55	selline	1751
56	juba	1731
57	nüüd	1650
58	nagu	1650
59	võt	1635
60	välja	1629
61	teine	1608
62	oma	1575
63	😛	1553
64	väga	1550
65	mitte	1546
66	funktsioon	1530
67	iga	1482
68	läbi	1480
69	anne	1474
70	2	1472
71	😃	1465
72	küll	1465
73	ago	1463
74	kood	1415
75	siin	1406
76	hakka	1401
77	kes	1392
78	peale	1390
79	https	1371
80	palju	1367
81	kasuta	1357
82	miks	1355
83	kus	1352
84	ütle	1340
85	kadri	1333
86	aru	1332
87	ainult	1332
88	lihtsalt	1330
89	eksam	1286
90	a	1279
91	üle	1241
92	vaja	1240
93	töö	1233
94	esimene	1214
95	proovi	1213
96	list	1204
97	mõtle	1194
98	jää	1167
99	kirjuta	1151
100		1149
101	faile	1147
102	käi	1143
103	|	1100
104	päev	1088
105	jõud	1074
106	näide	1070
107	näge	1066
108	oska	1053
109	3	1044
110	tööta	1027
111	i	1013
112	🤔	1010
113	punkt	1006
114	õige	982
115	aasta	979
116	aine	971
117	ehk	966
118	tund	950
119	pärast	946
120	lisa	914
121	äkki	909
122	nimi	906
123	ms	897
124	koht	884
125	päris	878
126	10	878
127	d	870
128	pea	854
129	leid	852
130	enne	850
131	mõni	846
132	😀	836
133	viga	830
134	hmm	826
135	5	818
136	ok	815
137	sest	803
138	4	801
139	fail	800
140	suur	796
141	366546170149076993	788
142	uus	765
143	😦	764
144	kaks	754
145	küsi	754
146	just	748
147	luge	748
148	kohe	740
149	küsimus	740
150	sisse	730
151	rohkem	726
152	kohta	722
153	inimene	720
154	rida	719
155	õpe	710
156	v	704
157	kokku	703
158	sinna	701
159	parem	701
160	arva	699
161	muidu	696
162	õppe	693
163	enam	691
164	number	689
165	täna	687
166	100	686
167	#	682
168	ette	678
169	praegu	677
170	üldse	676
171	osa	676
172	mõte	672
173	vastus	671
174	in	668
175	s	666
176	tulemus	661
177	isegi	654
178	viimane	651
179	rääki	651
180	hetk	646
181	pigem	644
182	täht	643
183	pelmeen	642
184	tundu	640
185	suht	634
186	87209900605718528	627
187	tester	626
188	tudeng	620
189	kontrolli	618
190	kool	616
191	tehtud	609
192	java	607
193	kell	605
194	the	600
195	python	600
196	string	598
197	õppi	597
198	lõpp	592
199	järgi	592
200	kaart	591
201	it	590
202	tagasta	589
203	pilt	589
204	if	584
205	pool	584
206	kõige	583
207	muut	581
208	probleem	580
209	nädal	576
210	kontroll	569
211	tee	564
212	pokemon	560
213	peal	556
214	jaoks	553
215	to	552
216	kaug	551
217	muu	550
218	alla	549
219	483890165056536598	546
220	aita	545
221	arvuti	542
222	vahe	534
223	is	532
224	kiri	529
225	tagasi	528
226	eks	525
227	liiga	524
228	ega	522
229	x	518
230	söö	517
231	käsi	514
232	teema	514
233	ning	511
234	mitu	511
235	üll	510
236	aa	510
237	maga	509
238	print	508
239	vale	503
240	regex	502
241	kursus	499
242	kogu	496
243	tegelikult	496
244	algus	496
245	väärtus	494
246	tohti	492
247	lahenda	490
248	jep	487
249	abi	486
250	video	486
251	for	484
252	olnud	479
253	kuna	479
254	sees	478
255	klass	477
256	kodu	474
257	näita	474
258	juht	471
259	id	470
260	hästi	468
261	all	465
262	eest	465
263	vms	464
264	aitäh	462
265	järgmine	460
266	natuke	458
267	vähemalt	457
268	tühi	452
269	juurde	451
270	tere	448
271	of	448
272	nt	443
273	meeldi	443
274	not	442
275	too	440
276	leht	439
277	väike	438
278	uuesti	434
279	jne	434
280	eraldi	429
281	arv	429
282	sealt	428
283	kuskil	425
284	homme	418
285	vastu	417
286	alati	416
287	laps	413
288	alles	412
289	okei	410
290	huvitav	408
291	kuidagi	407
292	random	407
293	seega	405
294	tabel	405
295	ilma	404
296	kunagi	402
297	6	402
298	ikkagi	402
299	edasi	402
300	muutuja	401
301	võimalik	399
302	info	397
303	erinev	396
304	vaid	393
305	maa	392
306	valesti	390
307	elu	389
308	oota	389
309	tänu	388
310	aja	387
311	kaits	387
312	tähenda	386
313	mängi	383
314	kuigi	379
315	lahendus	378
316	vana	375
317	hinne	375
318	täpselt	375
319	12	375
320	11	370
321	puhul	370
322	tekst	369
323	get	365
324	testi	365
325	15	364
326	otsi	361
327	8	358
328	st	355
329	jaga	355
330	n	354
331	jaa	352
332	loeng	352
333	vahel	352
334	ilmselt	352
335	lask	352
336	name	351
337	dict	351
338	lause	349
339	meetod	348
340	täis	347
341	muidugi	346
342	jälle	344
343	kanal	343
344	7	343
345	sõna	342
346	samas	341
347	eelmine	340
348	2C	338
349	kindlasti	337
350	tüüp	337
